scorer,angelina,angelina,angelina,angelina,angelina,angelina,angelina,angelina,angelina,angelina,angelina,angelina,angelina,angelina,angelina,angelina,angelina,angelina,angelina,angelina
bodyparts,maxilla_anterior,maxilla_anterior,premaxilla_tip,premaxilla_tip,dentary_tip,dentary_tip,hyoid,hyoid,fin_base,fin_base,operculum,operculum,eye_top,eye_top,eye_right,eye_right,eye_bottom,eye_bottom,eye_left,eye_left
coords,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data/5-04-2023_geoG3_winnow2/img00.png,842.6033838584726,446.8597851454721,849.6108260931717,461.57541383834007,851.0123145401116,481.89699631896735,785.8431017574104,511.32825370470334,657.6069088624178,516.2334632689926,658.3076530858878,479.7947636485576,719.2724005277694,393.6032241617593,748.7036579135054,426.5382026648448,726.9805869859383,450.3635062628216,692.644120035913,429.34117955872443
labeled-data/5-04-2023_geoG3_winnow2/img07.png,839.0996627411232,445.45829669853225,852.4138029870514,462.9769022852799,849.6108260931717,482.59774054243724,799.1572420033385,508.5252768108237,660.4098857562974,512.7297421516432,656.9061646389479,481.1962520954974,712.9657025165402,392.9024799382894,751.5066348073851,423.7352257709652,729.783563879818,450.3635062628216,690.5418873655033,423.7352257709652
labeled-data/5-04-2023_geoG3_winnow2/img10.png,843.3041280819426,447.56052936894196,853.8152914339912,465.0791349556896,848.9100818697018,485.4007174363169,780.9378921931211,518.3356959394024,664.6143510971168,512.0289979281732,656.9061646389479,482.59774054243724,712.9657025165402,393.6032241617593,748.0029136900355,424.43596999443514,727.6813312094082,450.3635062628216,687.7389104716237,427.23894688831473
labeled-data/5-04-2023_geoG3_winnow2/img14.png,840.501151188063,450.3635062628216,853.1145472105213,464.3783907322197,850.3115703166417,483.999228989377,790.7483113216997,514.8319748220529,661.8113742032372,512.7297421516432,647.796489733839,475.5902983077382,715.06793518695,398.5084337260486,748.7036579135054,423.03448154749526,726.9805869859383,455.2687158271109,696.1478411532626,435.6478775699536
labeled-data/5-04-2023_geoG3_winnow2/img16.png,839.8004069645931,455.2687158271109,855.216779880931,463.67764650874983,847.508593422762,486.80220588325665,786.5438459808803,516.2334632689926,673.7240260022256,516.9342074924625,652.7016992981285,474.8895540842683,710.8634698461306,399.2091779495185,752.9081232543249,427.23894688831473,726.2798427624684,454.567971603641,690.5418873655033,432.84490067607396
labeled-data/5-04-2023_geoG3_winnow2/img19.png,841.9026396350027,459.47318116793036,851.0123145401116,466.4806234026294,847.508593422762,486.80220588325665,789.3468228747599,514.131230598583,668.8188164379362,523.9416497271616,649.1979781807788,477.6925309781479,712.2649582930703,399.90992217298844,748.7036579135054,428.64043533525455,716.4694236338898,457.37094849752066,688.4396546950936,433.54564489954384
labeled-data/5-04-2023_geoG3_winnow2/img20.png,834.1944531768338,453.16648315670125,847.508593422762,466.4806234026294,838.3989185176533,483.999228989377,781.638636416591,518.3356959394024,666.7165837675266,517.6349517159325,654.1031877450682,483.999228989377,710.8634698461306,398.5084337260486,747.3021694665656,425.8374584413749,726.2798427624684,451.0642504862915,682.8337009073343,435.6478775699536
labeled-data/5-04-2023_geoG3_winnow2/img22.png,827.1870109421347,446.8597851454721,841.9026396350027,461.57541383834007,844.0048723054125,475.5902983077382,792.1497997686395,516.2334632689926,663.2128626501769,527.4453708445112,656.2054204154779,490.3059270006062,708.7612371757209,402.01215484339815,743.7984483492161,423.03448154749526,716.4694236338898,455.2687158271109,686.3374220246839,432.84490067607396
